序号,企业名称,产品名称,产品型号,推荐单位,地区,批次,种类,绿色设计亮点,适用评价标准
1,广州立白企业集团有限公司,威王十效全能厨房清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
2,广州立白企业集团有限公司,威王油烟机重油污净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
3,广州立白企业集团有限公司,威王植物厨房清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
4,广州立白企业集团有限公司,威王空调除菌清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
5,广州立白企业集团有限公司,威王多功能玻璃清洁剂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
6,广州立白企业集团有限公司,威王除重垢洁厕净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
7,广州立白企业集团有限公司,威王炫白洁厕净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
8,广州立白企业集团有限公司,超威强力洁厕精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
9,广州立白企业集团有限公司,超威亮滑洁厕净,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
10,广州立白企业集团有限公司,超威除菌洁厕精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
11,广州立白企业集团有限公司,立白新金桔洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
12,广州立白企业集团有限公司,立白洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
13,广州立白企业集团有限公司,立白柠檬去油清新柠檬洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
14,广州立白企业集团有限公司,立白生姜洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
15,广州立白企业集团有限公司,立白盐洁洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
16,广州立白企业集团有限公司,立白茶洁洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
17,广州立白企业集团有限公司,立白橙洁洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
18,广州立白企业集团有限公司,立白青柠洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
19,广州立白企业集团有限公司,立白野生姜洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
20,广州立白企业集团有限公司,立白红柚洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
21,广州立白企业集团有限公司,立白贡金桔洗洁精,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
22,广州立白企业集团有限公司,立白强效去渍洗衣皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
23,广州立白企业集团有限公司,立白椰油精华洗衣皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
24,广州立白企业集团有限公司,立白新椰油精华洗衣皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
25,广州立白企业集团有限公司,立白椰油精华增白皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
26,广州立白企业集团有限公司,立白新椰油精华增白皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
27,广州立白企业集团有限公司,立白新植物洗衣皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
28,广州立白企业集团有限公司,立白全效馨香洗衣皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
29,广州立白企业集团有限公司,立白内衣专用除菌皂,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
30,广州立白企业集团有限公司,立白超洁清新洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
31,广州立白企业集团有限公司,立白冷水速效洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
32,广州立白企业集团有限公司,立白全自动浓缩洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
33,广州立白企业集团有限公司,立白全效馨香洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
34,广州立白企业集团有限公司,立白易漂洗洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
35,广州立白企业集团有限公司,立白怡神薰衣香洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
36,广州立白企业集团有限公司,立白超洁熏衣香洗衣粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
37,广州立白企业集团有限公司,立白超洁熏衣香洗衣液,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
38,广州立白企业集团有限公司,立白天然洗衣香皂粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
39,广州立白企业集团有限公司,立白天然柔护皂粉,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
40,广州立白企业集团有限公司,立白超洁薰衣香洗衣液,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
41,广州立白企业集团有限公司,立白全效护理洗衣液,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
42,广州立白企业集团有限公司,立白全效馨香洗衣液,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
43,广州立白企业集团有限公司,立白精致衣物护理（机洗低泡柔,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
44,广州立白企业集团有限公司,护立）白洗机衣洗液低泡洗衣液,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
45,广州立白企业集团有限公司,立白天然皂液（手洗专用）,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
46,广州立白企业集团有限公司,立白天然皂液（椰子油精华）,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
47,广州立白企业集团有限公司,立白天然皂液（橄榄油精华）,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
48,广州立白企业集团有限公司,立白洗衣凝珠,-,广东省经济和信息化委员会,广东,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
49,湖南洁宇日化新技术股份有限公司,浓缩型洗衣氧颗粒,600克/700克/1000克,湖南省经济和信息化委员会,湖南,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
50,纳爱斯集团有限公司,家用洗涤剂,普通洗衣粉,浙江省经济和信息化委员会,浙江,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
51,纳爱斯集团有限公司,家用洗涤剂,浓缩洗衣粉,浙江省经济和信息化委员会,浙江,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
52,纳爱斯集团有限公司,家用洗涤剂,天然皂粉,浙江省经济和信息化委员会,浙江,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
53,纳爱斯集团有限公司,家用洗涤剂,洗衣液,浙江省经济和信息化委员会,浙江,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
54,纳爱斯集团有限公司,家用洗涤剂,洗洁精,浙江省经济和信息化委员会,浙江,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
55,纳爱斯集团有限公司,家用洗涤剂,透明皂,浙江省经济和信息化委员会,浙江,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
56,西安开米股份有限公司,开米蔬果清洗剂,-,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,西安,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
57,西安开米股份有限公司,开米涤王浓缩多功能中性洗衣液,-,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,西安,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
58,西安开米股份有限公司,开米餐具净,-,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,西安,1,一、家用洗涤剂（58种）,不使用支链十二烷基苯磺酸钠（ABS）、氮川三乙酸等易造成污染的原料，产品中磷酸盐含量不超过0.5%（国标为不超过1.1%）。在其全生命周期内，对富营养化影响较小。nan,《生态设计产品评价规范 第1部分：家用洗涤剂》（GB/T 32163.1-2015）nan
1,孝感市易生新材料有限公司,可降解塑料,聚乳酸,湖北省经济和信息化委员会,湖北,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
2,长春必可成生物材料有限公司,可降解塑料,可生物降解购物袋,吉林省工业和信息化厅,吉林,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
3,江苏锦禾高新科技股份有限公司,可降解塑料,全生物降解天然秸秆塑料-JH800系列,江苏省经济和信息化委员会,江苏,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
4,金晖兆隆高新科技股份有限公司,可降解塑料,ECOWORLD爱柯沃得 PBS,山西省经济和信息化委员会,山西,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
5,浙江海正生物材料股份有限公司,可降解塑料,聚乳酸纯/改性树脂,浙江省经济和信息化委员会,浙江,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
6,苏州汉丰新材料股份有限公司,生物基可降解塑料,BFZ,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,苏州,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
7,常州龙骏天纯环保科技有限公司,生物基可降解塑料,-,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,常州,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
8,山东天野塑化有限公司,全生物降解地膜,-,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,山东,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
9,新疆蓝山屯河化工股份有限公司,聚对苯二甲酸-己二酸丁二酯,TH801,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,新疆,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
10,武汉华丽环保科技有限公司,PSM生物降解塑料,-,绿色设计产品评价试点推荐（中国标准化研究院及相关行业协会）,武汉,1,二、可降解塑料（11种）,产品生物降解率大于60%，重金属含量符合降解塑料国家标准，单位产品废渣产生量不超过0.1吨/吨。在其全生命周期内，对化石能源消耗影响较小。nan,《生态设计产品评价规范 第2部分：可降解塑料》 （GB/T 32163.2-2015）nan
